,ID,FolderName,PlantNumber,Side,Start,End,Genotype,Stage,WasSegmented,ImageSegments,Width
0,ID_208667_Hnkl8q,L5l1h3kekg,7,L,38,50,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_208667_Hnkl8q.png,978
1,ID_285249_Jnjvav,Wgutyon8uu,6,R,23,37,TMEB419,Early,False,merged_images\test\ID_285249_Jnjvav.png,1050
2,ID_697947_Yec6bd,Mylwjeq6tq,3,R,19,42,IBA980581,Early,False,merged_images\test\ID_697947_Yec6bd.png,1006
3,ID_534638_X3j91f,Pfp24vx905,2,R,27,34,TMEB419,Early,False,merged_images\test\ID_534638_X3j91f.png,1022
4,ID_929298_Xvymuz,Mrw7chmalv,4,R,30,43,IBA154810,Early,False,merged_images\test\ID_929298_Xvymuz.png,910
5,ID_962011_Xliqf0,Lzkaccojep,2,L,24,39,TMEB419,Early,False,merged_images\test\ID_962011_Xliqf0.png,956
6,ID_273739_Vhbypt,Mylwjeq6tq,3,L,28,34,IBA980581,Early,False,merged_images\test\ID_273739_Vhbypt.png,995
7,ID_557810_Klirzi,B5myqsh1wi,2,R,26,35,TMEB419,Early,False,merged_images\test\ID_557810_Klirzi.png,880
8,ID_111546_Xaujvn,L5l1h3kekg,5,L,38,50,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_111546_Xaujvn.png,978
9,ID_316464_Thc8bh,Nrse2plksd,2,R,25,35,TMEB693,Early,False,merged_images\test\ID_316464_Thc8bh.png,984
10,ID_393158_Fph3qv,Oipmzygepq,5,R,32,39,TMEB693,Early,False,merged_images\test\ID_393158_Fph3qv.png,1010
11,ID_425408_Yercj1,Hzapvbcfm8,5,R,24,30,IBA154810,Early,False,merged_images\test\ID_425408_Yercj1.png,938
12,ID_908192_Xtsnc7,Bb02c5k7wm,4,L,22,31,TMEB693,Early,False,merged_images\test\ID_908192_Xtsnc7.png,928
13,ID_205546_Fof3xx,Vwjlghaocq,3,L,10,19,TMEB693,Late,False,merged_images\test\ID_205546_Fof3xx.png,910
14,ID_493818_Cpaykh,Qinorm9cg3,4,L,16,24,IBA980581,Early,False,merged_images\test\ID_493818_Cpaykh.png,915
15,ID_153154_Wlopzx,Q4uyruus4j,3,R,27,33,IBA980581,Early,False,merged_images\test\ID_153154_Wlopzx.png,1030
16,ID_565070_S9tjo7,Geksu5kuf3,3,R,35,44,TMEB693,Early,False,merged_images\test\ID_565070_S9tjo7.png,917
17,ID_304842_Z571sy,Mskdmpitqk,5,R,27,36,TMEB419,Early,False,merged_images\test\ID_304842_Z571sy.png,916
18,ID_688282_Dujmyr,B8x7mhxe6z,6,L,23,33,IBA154810,Early,False,merged_images\test\ID_688282_Dujmyr.png,969
19,ID_407828_Qkeoqf,Mylwjeq6tq,2,R,19,42,IBA980581,Early,False,merged_images\test\ID_407828_Qkeoqf.png,1006
20,ID_184031_D01bsk,Mrw7chmalv,3,L,18,23,IBA154810,Early,False,merged_images\test\ID_184031_D01bsk.png,915
21,ID_326744_Qt5k8v,Yjzw2bylox,3,R,23,40,TMEB693,Early,False,merged_images\test\ID_326744_Qt5k8v.png,1006
22,ID_319403_Gpv9ax,Izbgyxre0g,5,L,24,37,IBA154810,Early,False,merged_images\test\ID_319403_Gpv9ax.png,947
23,ID_987831_Uegrsm,Qinorm9cg3,5,L,16,24,IBA980581,Early,False,merged_images\test\ID_987831_Uegrsm.png,915
24,ID_375230_Rhcvqw,Ifqbqqrika,5,R,20,25,TMEB693,Early,False,merged_images\test\ID_375230_Rhcvqw.png,908
25,ID_169510_Hlqokb,Sauopakhvn,6,L,19,40,TMEB419,Early,False,merged_images\test\ID_169510_Hlqokb.png,1035
26,ID_109643_Exlqaq,Qinorm9cg3,3,L,16,24,IBA980581,Early,False,merged_images\test\ID_109643_Exlqaq.png,915
27,ID_980636_Lmy6yi,Qinorm9cg3,3,R,22,30,IBA980581,Early,False,merged_images\test\ID_980636_Lmy6yi.png,921
28,ID_776892_Ltqlgb,Lwuwokuhrf,2,R,15,30,TMEB419,Early,False,merged_images\test\ID_776892_Ltqlgb.png,969
29,ID_813803_Vlfpbi,Eotyv55rer,2,L,16,20,TMEB693,Late,False,merged_images\test\ID_813803_Vlfpbi.png,980
30,ID_468986_Ntpojw,Ubgsvkns3h,3,R,17,26,IKN130010,Early,False,merged_images\test\ID_468986_Ntpojw.png,885
31,ID_330709_K1r6cj,Pctl4tyb9l,6,L,46,53,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_330709_K1r6cj.png,937
32,ID_254031_Knmqbt,Lsdgz02kdp,5,R,17,27,TMEB693,Early,False,merged_images\test\ID_254031_Knmqbt.png,1035
33,ID_907938_D3fuog,Puya1uaaln,2,R,16,37,TMEB419,Early,False,merged_images\test\ID_907938_D3fuog.png,917
34,ID_801383_Ppxylj,Dz9lpsl9ae,6,R,45,50,TMEB419,Early,False,merged_images\test\ID_801383_Ppxylj.png,867
35,ID_770770_Filqvb,Mrw7chmalv,5,R,30,43,IBA154810,Early,False,merged_images\test\ID_770770_Filqvb.png,910
36,ID_282933_Wto0yh,Hc3b9gicdo,4,L,37,45,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_282933_Wto0yh.png,978
37,ID_657308_Mn58dk,Nrse2plksd,6,R,25,35,TMEB693,Early,False,merged_images\test\ID_657308_Mn58dk.png,984
38,ID_871322_Yizngh,Mylwjeq6tq,6,L,28,34,IBA980581,Early,False,merged_images\test\ID_871322_Yizngh.png,995
39,ID_361990_N4lwnn,Mylwjeq6tq,5,R,19,42,IBA980581,Early,False,merged_images\test\ID_361990_N4lwnn.png,1006
40,ID_857513_Axuhlo,Sauopakhvn,7,L,19,40,TMEB419,Early,False,merged_images\test\ID_857513_Axuhlo.png,1035
41,ID_751605_Es7lyl,F5lrpuuq8q,6,R,23,31,IBA980581,Early,False,merged_images\test\ID_751605_Es7lyl.png,1001
