,ID,FolderName,PlantNumber,Side,Start,End,RootVolume,Genotype,Stage,segments
0,ID_826322_Lbmaya,A6dzrkjqvl,3,L,33,42,0.9,IITA-TMS-IBA000070,Early,processed_data/train/A6dzrkjqvl_3.png
1,ID_718181_Bslpwx,Ypktwvqjbn,7,L,33,41,1.5,IBA154810,Early,processed_data/train/Ypktwvqjbn_7.png
2,ID_465762_L1n61d,Ox18ob0syv,4,R,21,28,2.7,IBA980581,Early,processed_data/train/Ox18ob0syv_4.png
3,ID_626872_Pbmx2e,Hqcekwpxgu,2,R,30,39,2.6,IITA-TMS-IBA000070,Early,processed_data/train/Hqcekwpxgu_2.png
4,ID_518846_Opko8c,Ummqfuetoc,1,R,17,26,2.7,IBA980581,Early,processed_data/train/Ummqfuetoc_1.png
5,ID_167189_Lxr1uc,B5myqsh1wi,4,R,26,35,1.3,TMEB419,Early,processed_data/train/B5myqsh1wi_4.png
6,ID_171226_Jaqvha,L8w7zu7wek,5,R,27,33,4.5,IITA-TMS-IBA000070,Early,processed_data/train/L8w7zu7wek_5.png
7,ID_174315_Lw9ftc,Izbgyxre0g,2,L,24,37,3.7,IBA154810,Early,processed_data/train/Izbgyxre0g_2.png
8,ID_216014_Djn5n6,Vinlgebupo,2,L,23,29,0.4,IBA980581,Early,processed_data/train/Vinlgebupo_2.png
9,ID_737506_Hrpn4d,Hc3b9gicdo,5,L,37,45,3.1,IITA-TMS-IBA000070,Early,processed_data/train/Hc3b9gicdo_5.png
10,ID_199600_Ewizmo,Lzkaccojep,4,L,24,39,6.2,TMEB419,Early,processed_data/train/Lzkaccojep_4.png
11,ID_435671_Aebsus,Q4uyruus4j,4,R,27,33,2.8,IBA980581,Early,processed_data/train/Q4uyruus4j_4.png
12,ID_619181_Naqnhc,Yxmmb4wt55,4,R,17,32,3.0,IITA-TMS-IBA000070,Early,processed_data/train/Yxmmb4wt55_4.png
13,ID_386102_Nxfbxd,Sauopakhvn,4,R,21,45,0.5,TMEB419,Early,processed_data/train/Sauopakhvn_4.png
14,ID_989335_Vfh75b,Mpmvh2mgm3,3,L,32,40,4.9,TMEB419,Early,processed_data/train/Mpmvh2mgm3_3.png
15,ID_130988_Lor3j3,B8x7mhxe6z,1,R,20,30,0.8,IBA154810,Early,processed_data/train/B8x7mhxe6z_1.png
16,ID_748330_Wng7lt,Kjvcz6bjfj,5,R,26,39,0.2,IBA980581,Early,processed_data/train/Kjvcz6bjfj_5.png
17,ID_682864_Lewqed,Ntqusw7xpb,4,R,37,46,2.2,TMEB419,Early,processed_data/train/Ntqusw7xpb_4.png
18,ID_541673_F5dfwh,Ecxdebmlnr,3,R,25,36,0.02,IITA-TMS-IBA000070,Early,processed_data/train/Ecxdebmlnr_3.png
19,ID_700584_N3yrce,V6awcupt6m,5,R,28,39,2.3,TMEB693,Early,processed_data/train/V6awcupt6m_5.png
20,ID_389935_Wf0rvu,Ah4ubi4ggi,5,R,27,44,2.3,IITA-TMS-IBA000070,Early,processed_data/train/Ah4ubi4ggi_5.png
21,ID_916044_G6ck2f,Ph2ti2sjzu,3,L,22,35,0.01,IBA980581,Early,processed_data/train/Ph2ti2sjzu_3.png
22,ID_414102_Nbkm4z,Vlqr6qhbqk,2,R,32,40,1.8,IBA154810,Early,processed_data/train/Vlqr6qhbqk_2.png
23,ID_912053_Mg3hwe,Idiolerx47,5,L,10,20,3.0,IITA-TMS-IBA000070,Late,processed_data/train/Idiolerx47_5.png
24,ID_661969_Lnu1x9,Pw4ytibfql,4,L,25,32,1.5,TMEB419,Early,processed_data/train/Pw4ytibfql_4.png
25,ID_522599_Uvg4bq,Gernxgxbnu,5,L,14,19,0.0,TMEB419,Late,processed_data/train/Gernxgxbnu_5.png
26,ID_598519_Gvxcep,Lsdgz02kdp,7,L,29,40,2.1,TMEB693,Early,processed_data/train/Lsdgz02kdp_7.png
27,ID_885908_Ijv0l9,Mpmvh2mgm3,4,L,32,40,4.8,TMEB419,Early,processed_data/train/Mpmvh2mgm3_4.png
28,ID_327566_Rnomjq,Xrrcqvdbkw,5,R,27,36,2.9,IBA154810,Early,processed_data/train/Xrrcqvdbkw_5.png
29,ID_661938_Ejfr2m,Zplb9xaxis,3,L,19,26,0.3,TMEB693,Late,processed_data/train/Zplb9xaxis_3.png
30,ID_871687_Ojcyma,Dz9lpsl9ae,5,L,37,46,1.4,TMEB419,Early,processed_data/train/Dz9lpsl9ae_5.png
31,ID_824915_A9kvq3,Vlcavd4dwj,5,L,34,42,4.5,IITA-TMS-IBA000070,Early,processed_data/train/Vlcavd4dwj_5.png
32,ID_624401_Iohnop,Ifqbqqrika,2,L,26,32,1.4,TMEB693,Early,processed_data/train/Ifqbqqrika_2.png
33,ID_134905_Id9pcw,Qhqftdiz4q,5,R,49,60,1.9,IITA-TMS-IBA000070,Early,processed_data/train/Qhqftdiz4q_5.png
34,ID_260205_Ehppmv,Qhqftdiz4q,4,R,49,60,4.5,IITA-TMS-IBA000070,Early,processed_data/train/Qhqftdiz4q_4.png
35,ID_794937_Y224fs,Pw4ytibfql,5,L,25,32,1.9,TMEB419,Early,processed_data/train/Pw4ytibfql_5.png
36,ID_677302_Zjlged,Ah4ubi4ggi,4,L,42,49,0.8,IITA-TMS-IBA000070,Early,processed_data/train/Ah4ubi4ggi_4.png
37,ID_432572_Ygv3sh,Xdi1ipcemf,5,R,32,38,4.2,IITA-TMS-IBA000070,Early,processed_data/train/Xdi1ipcemf_5.png
38,ID_387368_Aitmyp,Yznlv6wrsh,3,L,30,39,0.4,DIXON,Early,processed_data/train/Yznlv6wrsh_3.png
39,ID_684183_Sdvb3a,Pctl4tyb9l,4,L,46,53,7.9,IITA-TMS-IBA000070,Early,processed_data/train/Pctl4tyb9l_4.png
40,ID_477341_Almkhm,Ubgsvkns3h,4,L,33,40,0.65,IKN130010,Early,processed_data/train/Ubgsvkns3h_4.png
41,ID_612373_P9lo1t,Wgutyon8uu,5,R,23,37,1.8,TMEB419,Early,processed_data/train/Wgutyon8uu_5.png
42,ID_605863_Gfc23p,Rzyf8hal4j,7,L,32,40,1.3,IBA154810,Early,processed_data/train/Rzyf8hal4j_7.png
