,ID,FolderName,PlantNumber,Side,Start,End,RootVolume,Genotype,Stage,WasSegmented,ImageSegments,Width
0,ID_826322_Lbmaya,A6dzrkjqvl,3,L,33,42,0.9,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_826322_Lbmaya.png,908
1,ID_718181_Bslpwx,Ypktwvqjbn,7,L,33,41,1.5,IBA154810,Early,False,merged_images\train\ID_718181_Bslpwx.png,951
2,ID_465762_L1n61d,Ox18ob0syv,4,R,21,28,2.7,IBA980581,Early,False,merged_images\train\ID_465762_L1n61d.png,54
3,ID_626872_Pbmx2e,Hqcekwpxgu,2,R,30,39,2.6,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_626872_Pbmx2e.png,932
4,ID_518846_Opko8c,Ummqfuetoc,1,R,17,26,2.7,IBA980581,Early,False,merged_images\train\ID_518846_Opko8c.png,72
5,ID_167189_Lxr1uc,B5myqsh1wi,4,R,26,35,1.3,TMEB419,Early,False,merged_images\train\ID_167189_Lxr1uc.png,880
6,ID_171226_Jaqvha,L8w7zu7wek,5,R,27,33,4.5,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_171226_Jaqvha.png,34
7,ID_174315_Lw9ftc,Izbgyxre0g,2,L,24,37,3.7,IBA154810,Early,False,merged_images\train\ID_174315_Lw9ftc.png,947
8,ID_216014_Djn5n6,Vinlgebupo,2,L,23,29,0.4,IBA980581,Early,False,merged_images\train\ID_216014_Djn5n6.png,849
9,ID_737506_Hrpn4d,Hc3b9gicdo,5,L,37,45,3.1,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_737506_Hrpn4d.png,978
10,ID_199600_Ewizmo,Lzkaccojep,4,L,24,39,6.2,TMEB419,Early,False,merged_images\train\ID_199600_Ewizmo.png,956
11,ID_435671_Aebsus,Q4uyruus4j,4,R,27,33,2.8,IBA980581,Early,False,merged_images\train\ID_435671_Aebsus.png,58
12,ID_619181_Naqnhc,Yxmmb4wt55,4,R,17,32,3.0,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_619181_Naqnhc.png,44
13,ID_386102_Nxfbxd,Sauopakhvn,4,R,21,45,0.5,TMEB419,Early,False,merged_images\train\ID_386102_Nxfbxd.png,1104
14,ID_989335_Vfh75b,Mpmvh2mgm3,3,L,32,40,4.9,TMEB419,Early,False,merged_images\train\ID_989335_Vfh75b.png,1030
15,ID_130988_Lor3j3,B8x7mhxe6z,1,R,20,30,0.8,IBA154810,Early,False,merged_images\train\ID_130988_Lor3j3.png,118
16,ID_748330_Wng7lt,Kjvcz6bjfj,5,R,26,39,0.2,IBA980581,Early,False,merged_images\train\ID_748330_Wng7lt.png,23
17,ID_682864_Lewqed,Ntqusw7xpb,4,R,37,46,2.2,TMEB419,Early,False,merged_images\train\ID_682864_Lewqed.png,1030
18,ID_541673_F5dfwh,Ecxdebmlnr,3,R,25,36,0.02,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_541673_F5dfwh.png,64
19,ID_700584_N3yrce,V6awcupt6m,5,R,28,39,2.3,TMEB693,Early,False,merged_images\train\ID_700584_N3yrce.png,1008
20,ID_389935_Wf0rvu,Ah4ubi4ggi,5,R,27,44,2.3,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_389935_Wf0rvu.png,62
21,ID_916044_G6ck2f,Ph2ti2sjzu,3,L,22,35,0.01,IBA980581,Early,False,merged_images\train\ID_916044_G6ck2f.png,943
22,ID_414102_Nbkm4z,Vlqr6qhbqk,2,R,32,40,1.8,IBA154810,Early,False,merged_images\train\ID_414102_Nbkm4z.png,33
